id	en	ms
1	At first, I thought you might be spared because of your daughter's marriage	Mulanya, aku sangka kau mungkin akan dikecualikan, Tevye, sebab perkahwinan anak kau
2	You never used to laugh at me, you never had secrets you wouldn't tell	kau tak pernah digunakan untuk menertawakan saya. kau tak pernah digunakan untuk punya rahsia
3	So what would have been so terrible if I had a small fortune	Jadi, apa yang akan terjadi sekiranya aku mempunyai sedikit nasib baik
4	That way the whole world will be blind and toothless	Cara itu akan buat semua orang buta dan gongak
5	Our people with the detectives said he was half dead, scared and shouted that you'd turned on him	Orang-orang kita berserta para detektif cakap bahawa dia sangat ketakutan dan melaungkan mengatakan bahawa kau mengkhianatinya
6	I didn't mean it when I said I wanted her dud and berried	Aku tak bersungguh-sungguh ketika aku berkata Aku ingin dia mati dan dikebumikan
7	You decided to spend the night at Michael Corleone's house in Tahoe	Kau memutuskan habiskan malam di rumah Michael Corleone di Tahoe
8	It's been in me so long I just gotta tell you how I feel	Aku begini sejak lama aku harus bilang bagaimana perasaanku
9	Now listen to me very carefully. Surround the area with every man you've got, but don't move in	Dengar baik-baik Kepung tempat itu, tapi jangan masuk
10	I wonder why the Pentagon would send a full bird Colonel to handle this	Mengapa Pentagon menghantar kolonel untuk mengendali hal-hal macam ini
11	Tom, this is business and he's taking it personal	Tom, ini bisnes dan dia menjadikannya masalah peribadi
12	Just go outside and enjoy yourself, and forget about all this nonsense	Keluar dan berseronoklah dengan yang lainnya, lupakan semuanya ini
13	Let Fredo take care of some Mickey Mouse nightclub somewhere	Biar Fredo yang uruskan kelab malam anak-anak di suatu tempat
14	This cute little thing is my sister Connie	Si kecil yang cantik ini adalah adik aku Connie
15	Colonel, you came out here to find out why one of your machines blew a gasket	Jadi awak datang ke sini cuma nak melihat budak yang dipimpin awak suatu masa dulu mati
16	How much time do you need to sell your house and household goods	Tevye, berapa lama kau ambil masa jual rumah kau dan segala barangan dalamnya
17	First, you put the cloth in like this	Mari sini. - Pergi, anak-anak. - Mula-mula, letak kain macam ini
18	It is contrary to all that you have taught me	Ia bertentangan dgn apa yg kau ajar selama ni
19	It's an ancient taboo, set forth in the sacred scrolls	Itu larangan kuno yang tertulis di golongan suci
20	By your leave, Mr. President, this tribunal has not yet defined the purpose for this inquiry	Dengan izinmu, tuan Presiden mahkamah ini belum menetapkan tujuan bagi penyelidikan ini
21	If anything in this life is certain, if history has taught us anything, it's that you can kill anyone	Jika ada yang pasti dalam kehidupan ini jika sejarah mengajarkan kita sesuatu itu adalah kau boleh membunuh sesiapa pun
22	I'd give anything to get out of Oz altogether, but which is the way back to Kansas	Aku akan melakukan apa sahaja agar boleh keluar dari Oz lewat mana pulang ke Kansas
23	They put you in the ground and cover you up	Ini bererti mereka menempatkan kau di dalam tanah dan mereka menutupi kau
24	Watch out or I'll kick your Sicilian ass right into the street	Hati-hati cakap atau akan aku tendang kau ke jalan
25	Well, my old friends, it's time to say goodbye	Jadi, kawan lamaku, dah tiba masanya kita berpisah
26	My youngest son was forced to leave this country because of this SoIIozzo business	Anak bongsu aku terpaksa tinggalkan negara ini kerana urusan Sollozzo
27	Hodel, there's a certain question I wish to discuss with you	Hodel, ada satu soalan, soalan yang saya mahu berbincang dengan awak
28	Unless we can prove our theories, we don't stand a chance of acquittal	Kecuali teori itu boleh kami buktikan, kami takkan mungkin disidang
29	He asked for you and Tom said you wouldn't see him	Dia minta berjumpa kau dan Tom cakap kau tak nak menemuinya
30	You were left on the doorstep by gypsies	kau ditinggalkan di depan pintu oleh orang gipsi
31	My wife, Fruma Sarah, has a brother there	Isteri saya Fruma Sarah, moga dia bersemadi dengan aman
32	I'm hoping you'll join us, represent us in the United States	Aku harap kau akan menyertai kami, mewakili kami di United States
33	We'd like your blessing, and your permission to start work	Kami mahukan restu kau, serta izin kau untuk mulai bekerja
34	I didn't know it was going to be a hit, Mike	Aku tak tahu bahawa akan ada pembunuhan, Mike
35	You're the last of an elite groupdon't end it like this	Awak adalah askar terakhir dari pasukan elit, jangan tamatkan macam ini
36	If you don't listen to me and marry this man, you'll disappoint me	Jika kau tak dengarkan aku dan berkahwin dengan lelaki ini kau akan buatkan aku kecewa
37	I do my own work. I don't figure the best way to do that is to close my eyes and then hope he gets picked up in Seattle	Saya akan lakukan kerja saya sendiri, bukan menyuruh mereka menangkapnya di Seattle
38	And the courage that you promised Cowardly Lion	Dan keberanian yang kau janjikan pada Singa Yang Pengecut
39	And with our lovely Lieutenant Stewart dead, it looks like you're the last of the line	Dan dengan matinya Leftenan Stewart kita yang cantik nampaknya kau adalah yang terakhir dari garis keturunan
40	Maybe you're hurt real bad and you don't know it	Mungkin kau terluka teruk dan kau tak tahu itu
41	A house with a picket fence and a barn with a weathervane of a running horse	Rumah berpagar dan sebuah gudang dengan kuda berlari
42	It is based on our first article of faith	Ini didasari pada keyakinan dasar kita yang pertama
43	90 miles away, in partnership with a friendly government	145 km jauhnya, bekerjasama dengan kerajaan yang ramah
44	should I insist that all of TattagIia's drug middlemen have clean records	Jika berjumpa pengedar dadah Tattaglia, perlu aku paksa tak buat jenayah
45	You got some place I can eat around here	Ada tak tempat untuk saya makan di sini
46	You don't think that Rocco and Neri had something to do with this	Kau tak fikir bahawa Rocco dan Neri tak ada hubungannya dengan ini
47	May God bless and keep the Tzar far away from us	Moga Tuhan memberkati dan menjauhkan Tsar dari kita
48	And appearing for the state, Dr. Honorious, deputy minister of justice	Dan mewakili negara, Dr. Honorious, wakil menteri kehakiman
49	Now those magic slippers will take you home in two seconds	Sekarang selop ajaib itu akan mengantarmu pulang dalam 2 detik
50	But they'll soon be brought to trial for heresy	Tapi mereka akan segera diajukan ke mahkamah kerana pembohongan
51	# For 25 years, I've washed your clothes	Selama dua puluh lima tahu saya cuci pakaian awak
52	Wouldn't that more properly be done in your office	Bukankah itu akan lebih pantas jika dikerjakan di dalam pejabatmu
53	All my life I've awaited your coming and dreaded it, like death itself	Selama hidupku, aku tunggu kedatanganmu dan risau itu bagaikan kematian
54	And I'll tell your father, if he ever gets here	Dan aku akan memberitahu bapa jika ia pernah sampai di sini
55	I wanna go home, Johnny, I wanna drive my Chevy	Saya nak pulang, Johnny! Saya nak pandu kereta Chevy saya!9813I said: Why I can't find your fuckin' legs
56	No animals allowed outside the compound, and most especially not without a leash	Binatang tidak diizinkan berada di luar kurungan terutama bagi yang tanpa memakai tali kekang
57	In my world, when I left it, only kids your age wore beards	Di duniaku saat aku tinggalkan, hanya anak seumurmu yang ada jenggot
58	Things that have been on my mind, changes I want to make	Yang ada di fikiran aku, perubahan yang mahu aku buat
59	What still remains unexplained by local authorities is just how and where the former Green Beret came into possession of the weapons with which he allegedly killed one deputy sheriff, and tried to kill 6 others	Setakat ini pihak berkuasa belum dapat menjelaskan kedudukan sebenar penjenayah ini Bekas pemilik Beret Hijau ini mempunyai senjata dan telah membunuh seorang timbalan sheriff serta mencederakan 6 polis yang lain
60	Don CorIeone, I'm honoured and grateful that you have invited me on the wedding day of your daughter	Don Corleone, aku merasa terhormat dan berterima kasih telah kau undang di hari perkahwinan anak kau
61	God, please don't make Em never wake up	Allah Tolong jangan membuat Em pernah bangun lagi
62	If I had a sicilian wartime consigliere, I wouldn't be in this shape	Andai kau ini penasihat kelahiran Sisilia aku takkan begini
63	I tried to get in touch with you, but the guys at Bragg never knew where to find you	Saya telefon tapi mereka tidak pernah jumpa tuan di Bragg
64	Just one little bite and you'll never wake up again	Hanya satu gigitan kecil dan kau tak akan pernah bangun lagi
65	If you both like, why not give me $50 each to pay Fanucci	Kalau mahu, kenapa kamu beri aku masing-masing 50 dolar untuk Fanucci
66	You come on my daughter's wedding day and ask me to murder for money	Malah kau datang ke perkahwinan anak aku dan meminta aku membunuh demi duit
67	In Vietnam, you can bet that Rambo and I got pretty confused	Di Vietnam, cukup membingungkan untuk saya dan Rambo
68	And that completes my final report until we reach touchdown	Dan itu melengkapi laporan akhirku sampai kami mendarat di destinasi
69	But I'd face a whole box full of them for the chance of getting some brains	Tapi aku akan hadapi sekotak korek api demi mendapatkan otak
70	We were wondering why you couldn't come with us to the Emerald City to ask the Wizard of Oz for a heart	Kami mikir kenapa kau tidak ikut kami saja ke Pekan Jamrud untuk minta hati dalam Wizard of Oz
71	There is no authority above the will of the people. And we are the people	Tiada yang berkuaasa diatas kehendak manusia, dan kita adalah manusia
72	But look at you. A baby and a sewing machine	Tapi lihatlah, seorang bayi dan sebuah mesin jahit
73	At least, we'd get a radio fix on his position, if you don't mind setting him up for us Setting him up for you	Kita boleh dapatkan bearing kedudukannya jika awak nak perangkap dia
74	Connie, Connie, Connie I want to be reasonable with you	Connie, Connie, Connie aku mahu cakap terus terang dengan kau
75	In defiance of all our beliefs he has brought disgrace to the Shaolin Temple	Demi menentang kepercayaan kita semua dia telah memalukan nama shaolin Temple
76	We've brought you the broomstick of the Wicked Witch of the West	Kami membawakanmu sapu terbang milik Penyihir Jahat Dari Barat
77	Oh, by the way two months ago, we managed to place a female operative on the island	Oh, satu lagi 2 bulan lepas, kami menghantar seorang gadis ke pulau itu
78	They'II be scared stiff, so don't worry about nothing	Mereka akan ketakutan pada kau, percayalah. Jadi jangan bimbang
79	In Sicily he has plants to process them into heroin	Dia punya kilang di Sisilia untuk memproses candu itu menjadi heroin
80	He flies off the handle sometimes, but we're good friends	Kadang dia emosi, tapi aku dan Moe adalah kawan baik
81	I thought you were going to tell me that you were moving your family to Vegas and that you'd been offered the Vice Presidency of the Houstan hotels there	Aku ingat kau nak beritahu aku bahawa kau membawa keluarga kau ke Vegas dan kau ditawari jabatan Wakil Presiden untuk hotel-hotel di Houston sana
82	You've been more trouble to me than you're worth but it'll soon be over now	Kau lebih menyusahkan aku daripada dahulu tapi akan akan berakhir
83	I also have stock in IBM and ITT	Aku juga punya saham di IBM dan ITT
84	I have not taken refuge behind the Fifth Amendment, although it's my right to do so	Aku tak berlindung di balik Amandemen Ke-5 meskipun itu adalah hak aku untuk melakukannya
85	They can't resist. I want to control it as a business, keep it respectable	Aku mahu mengendalikannya sebagai bisnes supaya tetap terhormat
86	Hey ¨1 00 buttonmen on the street 24 hours a day	100 pembunuh ada di jalanan 24 jam setiap hari
87	One pistol, 20 rounds ammo, a medical kit, camera, TX9	Sepucuk pistol 20 butir peluru, peralatan P3K, kamera, TX9
88	Sure, 3 clues, 2 are good and one's bad	Mestilah, 3 petunjuk, 2 baik dan 1 buruk
89	Company leader to Raven. Talk to me, Johnny	Pemimpin pasukan kepada Raven, cakap dengan saya, Johnny
90	The price for the license is less than 20,000 dollars, right	Harga pengurusan izin itu kurang dari 20.000 dolar, bukan
91	Because you're from a poor family, so whatever Yente brings, you'll take. Right	Kerana awak seorang gadis dari keluarga yang miskin, jadi apa sahaja Yente bawa, awak kena terima
92	Are you happy with your wife and children	Isteri dan anak-anak kau, kau bahagia dengan mereka
93	He must be a warlike creature who gives battle to everything around him, even himself	Dia pastilah makhluk penyuka perang yang memberikan peperangan pada semua yang ada di sekelilingnya, bahkan dirinya sendiri
94	About a year ago, I was chopping that tree when suddenly it began to rain	Setahun yang lalu, aku sedang memotong pokok itu kemudian tiba2 hujan
95	But he took it back and planted it again	Itu benar. Tapi ia dimasukkan semula dan ditanam lagi
96	It was at this level I discovered cutting tools and arrowheads of quartz and the fossilized bones of carnivorous gorillas	Di tingkat ini, dulu aku temui alat potong, mata panah dari batu kwarsa dan fosil tulang dari gorila pemakan daging
97	Want to know how many men he had killed with carlo	Nak tahu berapa orang yang dia bunuh bersama Carlo
